id,the_snippet,the_headline,the_date,the_news_desk
3196,"Cole got support from his new manager, Aaron Boone, and denied any knowledge of cheating in Houston: “I certainly don’t think I have much to apologize for.”","At First Yankees Workout, Gerrit Cole Defends His Past With the Astros",2020-02-14T00:03:57+0000,Sports
3197,The mysterious firing of the department’s deputy secretary was the latest incident to shake the agency as it embarks on ambitious changes to health care.,"Veterans Affairs, a Trump Signature Issue, Is Facing Turmoil Again",2020-02-13T19:47:19+0000,Washington
3198,"State party officials released new details about their plans on Thursday, but after the chaos in Iowa, campaigns are worried that their months of effort in Nevada could go to waste.",The Nevada Caucuses Are Up Next. Will They Unfold Smoothly?,2020-02-13T10:00:25+0000,Politics
3199,"The Yannick Nézet-Séguin era begins in earnest, with the company’s music director leading six productions.",The Met Opera’s New Season: What We Want to See,2020-02-13T18:00:08+0000,Weekend
3200,"Corrections that appeared in print on Friday, Feb. 14, 2020","Corrections: Feb. 14, 2020",2020-02-14T04:31:46+0000,Corrections
3201,Our guide to pop and rock shows and the best of live jazz happening this weekend and in the week ahead.,"12 Pop, Rock and Jazz Concerts to Check Out in N.Y.C. This Weekend",2020-02-13T22:00:05+0000,Weekend
3202,Our guide to dance performances happening this weekend and in the week ahead.,6 Dance Performances to See in N.Y.C. This Weekend,2020-02-13T22:00:04+0000,Weekend
3203,"With many rooms (and stairs), a 19th-century house isn’t an easy place to grow old. But after 40 years in Park Slope, the owners wanted to stay put.","Making a Brownstone Accessible, Step by Step",2020-02-14T10:00:52+0000,Real Estate
3204,The same people who should be fixing them.,Who’s Profiting From Your Outrageous Medical Bills?,2020-02-14T10:00:32+0000,OpEd
3205,"His diverse body of work included novels, plays and a memoir about Ernest Hemingway. He was also a partner with his friend Paul Newman in business and charity.","A. E. Hotchner, Writer and Friend of the Famous, Dies at 102",2020-02-15T21:06:56+0000,Obits
3206,"After seven decades of experimentation, the artist produces “Unlights,” a confounding wonder — and possibly “my swan song.”",Robert Irwin’s Ambient Odyssey,2020-02-13T17:29:09+0000,Culture
3207,"Corrections that appeared in print on Thursday, Feb. 13, 2020.","Corrections: Feb. 13, 2020",2020-02-13T04:07:48+0000,Corrections
3208,"Quotation of the Day for Thursday, February 13, 2020.","Quotation of the Day: On Day 1, Yankees Vent About Astros",2020-02-13T04:18:55+0000,Summary
3209,"It’s one of the most common medical complaints, but patients say many doctors don’t take it seriously.",Why Doctors Dismiss Dizziness,2020-02-13T10:00:13+0000,Well
3210,"Prosecutors shared evidence, including explicit videos, against a father who is accused of abusing and extorting his daughter's college roommates.",What We Know About the Sarah Lawrence Trafficking Case,2020-02-13T10:22:43+0000,Metro
3211,See the looks from the Marc Jacobs: Fall 2020 Collection.,Marc Jacobs: Fall 2020,2020-02-13T02:04:46+0000,Fashion & Style
3212,"This week’s properties are in Park Slope, Brooklyn, Woodside, Queens, and on the Upper West Side.","Homes for Sale in Brooklyn, Queens and Manhattan",2020-02-13T14:00:24+0000,RealEstate
3213,Airbus can’t easily capitalize on the grounding of archrival Boeing’s best-selling plane.,"As Boeing Jets Sit Idle, Airbus Can’t Make Planes Fast Enough",2020-02-13T19:39:52+0000,Business
3214,"Under the plan, the hedge fund Chatham Asset Management would take over 30 newspapers nationwide, including The Sacramento Bee and The Miami Herald.","McClatchy, a Major U.S. Newspaper Chain, Files for Bankruptcy",2020-02-13T12:54:49+0000,Business
3215,The mysterious firing of the department’s deputy secretary was the latest incident to shake the agency as it embarks on ambitious changes to health care.,"Veterans Affairs, a Trump Signature Issue, Is Facing Turmoil Again",2020-02-13T19:47:19+0000,Washington
3216,"State party officials released new details about their plans on Thursday, but after the chaos in Iowa, campaigns are worried that their months of effort in Nevada could go to waste.",The Nevada Caucuses Are Up Next. Will They Unfold Smoothly?,2020-02-13T10:00:25+0000,Politics
3217,The actress’s “woo” approach to health is variously criticized and applauded. Also: Trump’s hostility to Europe; storing federal records.,"Gwyneth Paltrow’s Goop Arts, and Science",2020-02-13T20:03:22+0000,Letters
3218,"Cole got support from his new manager, Aaron Boone, and denied any knowledge of cheating in Houston: “I certainly don’t think I have much to apologize for.”","At First Yankees Workout, Gerrit Cole Defends His Past With the Astros",2020-02-14T00:03:57+0000,Sports
3219,"The Yannick Nézet-Séguin era begins in earnest, with the company’s music director leading six productions.",The Met Opera’s New Season: What We Want to See,2020-02-13T18:00:08+0000,Weekend
3220,"Corrections that appeared in print on Friday, Feb. 14, 2020","Corrections: Feb. 14, 2020",2020-02-14T04:31:46+0000,Corrections
3221,"In “Dark Towers,” David Enrich examines how unchecked ambition dethroned Deutsche Bank from its place at the forefront of German finance.",‘What the Hell Are We Doing Lending Money to a Guy Like This?’,2020-02-14T20:20:04+0000,BookReview
3222,A judge has ordered that the city revoke the building permit for 200 Amsterdam Avenue.,Developers of Upper West Side Condo Tower May Have to Deconstruct 20 Floors,2020-02-15T04:19:35+0000,Express
3223,It feels as if the 31-year-old actress has always been famous. But ‘High Fidelity’ and ‘The Batman’ are putting her at the center of the conversation.,"Sooner or Later, Zoë Kravitz Was Going to Be a Star",2020-02-13T10:00:23+0000,Arts&Leisure
3224,Planning for changes to the estate tax and the valuation discount for small businesses can be challenging. Here’s how to take advantage of them now.,2 Tax Strategies to Consider Ahead of the 2020 Election,2020-02-14T14:00:10+0000,Business
3225,Schools often use different jargon for the same types of aid or loans. Student advocates offer suggestions on how to figure out what you’ll pay.,Tips for Decoding College Financial Aid Offers,2020-02-14T14:00:10+0000,Business
3226,"Harvey Weinstein is accused of doing it to Annabella Sciorra and Mimi Haleyi. Years ago, a man did it to me.",The Specific Horror of Unwanted Oral Sex,2020-02-13T11:00:06+0000,OpEd
3227,It feels as if the 31-year-old actress has always been famous. But ‘High Fidelity’ and ‘The Batman’ are putting her at the center of the conversation.,"Sooner or Later, Zoë Kravitz Was Going to Be a Star",2020-02-13T10:00:23+0000,Arts&Leisure
3228,"In an era of opioid addiction, wellness obsession and internet oversharing, stories of substance abuse are back.",Addiction Memoirs Are a Genre in Recovery,2020-02-13T16:43:24+0000,Styles
3229,A brave voice in China cries out about the regime’s mishandling of the coronavirus.,‘I Cannot Remain Silent’,2020-02-15T19:30:04+0000,OpEd
3230,Readers share tips for avoiding the pitfalls of gender stereotypes in relationships.,"In Marriage, It’s Not About the Dishes. It’s About Respect.",2020-02-15T00:01:06+0000,OpEd
3231,The same people who should be fixing them.,Who’s Profiting From Your Outrageous Medical Bills?,2020-02-14T10:00:32+0000,OpEd
3232,"After seven decades of experimentation, the artist produces “Unlights,” a confounding wonder — and possibly “my swan song.”",Robert Irwin’s Ambient Odyssey,2020-02-13T17:29:09+0000,Culture
3233,"His diverse body of work included novels, plays and a memoir about Ernest Hemingway. He was also a partner with his friend Paul Newman in business and charity.","A. E. Hotchner, Writer and Friend of the Famous, Dies at 102",2020-02-15T21:06:56+0000,Obits
3234,"In “Dark Towers,” David Enrich examines how unchecked ambition dethroned Deutsche Bank from its place at the forefront of German finance.",‘What the Hell Are We Doing Lending Money to a Guy Like This?’,2020-02-14T20:20:04+0000,BookReview
3235,A judge has ordered that the city revoke the building permit for 200 Amsterdam Avenue.,Developers of Upper West Side Condo Tower May Have to Deconstruct 20 Floors,2020-02-15T04:19:35+0000,Express
3236,"Someday, before long, my wife and I will have to sit down and explain to him that he has a sister, and why she’s not here.",My Daughter Died. How Do I Introduce Her to My Son?,2020-02-13T09:50:02+0000,
3237,"Someday, before long, my wife and I will have to sit down and explain to him that he has a sister, and why she’s not here.",My Daughter Died. How Do I Introduce Her to My Son?,2020-02-13T10:00:08+0000,OpEd
3238,"It’s one of the most common medical complaints, but patients say many doctors don’t take it seriously.",Why Doctors Dismiss Dizziness,2020-02-13T10:00:13+0000,Well
3239,"Prosecutors shared evidence, including explicit videos, against a father who is accused of abusing and extorting his daughter's college roommates.",What We Know About the Sarah Lawrence Trafficking Case,2020-02-13T10:22:43+0000,Metro
3240,See the looks from the Marc Jacobs: Fall 2020 Collection.,Marc Jacobs: Fall 2020,2020-02-13T02:04:46+0000,Fashion & Style
3241,A ritual of the 1 percent endures in Manhattan.,The Debutante Ball in the Age of Instagram,2020-02-13T08:00:10+0000,Metro
3242,"As China continues its crackdown on ethnic minorities, including Uighur Muslims, as many as a million people have been detained in internment camps over three years.",Listen to Coverage From ‘The Daily’ on China’s Crackdown on Uighurs,2020-02-13T20:33:48+0000,Podcasts
3243,"Breaking hearts, brains and bank accounts since at least the 14th century.",Valentine’s Day: A Festival of Love or a Giant Scam?,2020-02-13T23:10:15+0000,OpEd
3244,"Harvey Weinstein is accused of doing it to Annabella Sciorra and Mimi Haleyi. Years ago, a man did it to me.",The Specific Horror of Unwanted Oral Sex,2020-02-13T11:00:06+0000,OpEd
3245,Planning for changes to the estate tax and the valuation discount for small businesses can be challenging. Here’s how to take advantage of them now.,2 Tax Strategies to Consider Ahead of the 2020 Election,2020-02-14T14:00:10+0000,Business
3246,"Kathie Klages, a former gymnastics coach at Michigan State University, could face up to four years in prison after being found guilty of lying to two investigators.",Former Coach Is Convicted of Lying About Knowledge of Abuse by Larry Nassar,2020-02-15T00:28:01+0000,Express
3247,"The New York City mayor, who was briefly a presidential candidate himself, is scheduled to campaign with Mr. Sanders in Nevada ahead of the caucuses there next week.",Bill de Blasio Endorses Bernie Sanders,2020-02-14T21:24:24+0000,Politics
3248,The Trump administration announced it would increase tariffs on European aircraft in an effort to ramp up pressure in a long-running airplane subsidy dispute.,Trump Administration Will Raise Tariffs on European Aircraft,2020-02-15T00:35:55+0000,Washington
3249,A quiet advisement against mingling and networking. ,Poem: At Least,2020-02-13T10:00:13+0000,Magazine
3250,"As test scores lag, there’s a growing debate between proponents of the “science of reading,” which emphasizes phonics, and traditional educators who prefer to instill a love of literature.",An Old and Contested Solution to Boost Reading Scores: Phonics,2020-02-15T08:00:10+0000,National
3251,"When California’s housing crisis slammed into a wealthy suburb, one public servant became a convert to a radically simple doctrine.",Build Build Build Build Build Build Build Build Build Build Build Build Build Build,2020-02-13T16:16:39+0000,SundayBusiness
